week_of_year,year,artist_name,publisher_affiliation,pro_affiliation,weekly_streams,weekly_airplays,avg_weekly_followers,avg_weekly_engagement_rate,avg_weekly_video_views,stream_growth_rate,airplay_growth_rate,composite_growth_score
32,2024,Artist_3,Sony,BMI,737201,0.0,0.0,0.0,0.0,5.0,0.0,2.5
32,2024,Artist_3,Sony,SACM,737201,0.0,0.0,0.0,0.0,5.0,0.0,2.5
32,2024,Artist_3,Universal,ASCAP,737201,0.0,0.0,0.0,0.0,5.0,0.0,2.5
32,2024,Artist_3,Universal,SACM,737201,0.0,0.0,0.0,0.0,5.0,0.0,2.5
32,2024,Artist_3,Sony,BMI,539527,0.0,0.0,0.0,0.0,-0.2681412531996023,0.0,-0.13407062659980115
32,2024,Artist_3,Sony,SACM,539527,0.0,0.0,0.0,0.0,-0.2681412531996023,0.0,-0.13407062659980115
32,2024,Artist_3,Universal,ASCAP,539527,0.0,0.0,0.0,0.0,-0.2681412531996023,0.0,-0.13407062659980115
32,2024,Artist_3,Universal,SACM,539527,0.0,0.0,0.0,0.0,-0.2681412531996023,0.0,-0.13407062659980115
32,2024,Artist_3,Sony,BMI,621523,0.0,0.0,0.0,0.0,0.151977565534255,0.0,0.0759887827671275
32,2024,Artist_3,Sony,SACM,621523,0.0,0.0,0.0,0.0,0.151977565534255,0.0,0.0759887827671275
32,2024,Artist_3,Universal,ASCAP,621523,0.0,0.0,0.0,0.0,0.151977565534255,0.0,0.0759887827671275
32,2024,Artist_3,Universal,SACM,621523,0.0,0.0,0.0,0.0,0.151977565534255,0.0,0.0759887827671275
32,2024,Artist_3,Sony,BMI,740521,0.0,0.0,0.0,0.0,0.1914619410705637,0.0,0.09573097053528185
32,2024,Artist_3,Sony,SACM,740521,0.0,0.0,0.0,0.0,0.1914619410705637,0.0,0.09573097053528185
32,2024,Artist_3,Universal,ASCAP,740521,0.0,0.0,0.0,0.0,0.1914619410705637,0.0,0.09573097053528185
32,2024,Artist_3,Universal,SACM,740521,0.0,0.0,0.0,0.0,0.1914619410705637,0.0,0.09573097053528185
32,2024,Artist_3,Sony,BMI,764029,0.0,0.0,0.0,0.0,0.0317452172186879,0.0,0.01587260860934395
32,2024,Artist_3,Sony,SACM,764029,0.0,0.0,0.0,0.0,0.0317452172186879,0.0,0.01587260860934395
32,2024,Artist_3,Universal,ASCAP,764029,0.0,0.0,0.0,0.0,0.0317452172186879,0.0,0.01587260860934395
